,Hand_L,Hand_R,Elbow_L,Elbow_R,Forearm_L,Forearm_R,Shoulder_L,Shoulder_R,Shoulder_pitch_L,Shoulder_pitch_R
42,-3101.8010258413638,2930.165639692954,-1231.008753778874,1712.4515123002943,2286.9831875527398,-2125.638006076615,-2259.0570801931976,2259.225789660997,-239.07166211807564,-472.79060959107716
43,-3158.037909478386,2885.7939000338597,-1167.5381976867193,1530.295536724459,2317.930363566061,-2136.9693112061555,-2253.12110361072,2296.4393913037893,-167.61685665513127,-448.2459654686482
44,-3251.1737079629293,2817.183331243545,-1271.5703948106998,1623.0111276560883,2301.7303298992133,-2111.931006766604,-2259.352338106332,2281.245994316112,-160.4904544161953,-273.2413465176901
45,-3342.081302793302,2795.5298153838403,-1329.146941670494,1640.7455152126638,2298.82896987138,-2087.544668974871,-2263.2071842600308,2264.65196058724,-122.45334449629453,-249.68764445757841
46,-3292.4657728391962,2835.6536430993497,-1363.7634903341643,1733.2958073579766,2322.642486428318,-2154.657672560241,-2262.894284248136,2253.5363967214134,-118.20622339025796,-77.05670329765478
47,-3121.2333771399185,2891.93415221466,-1442.2228389992104,1816.7835950475712,2351.989582559954,-2350.6899652216944,-2253.022875544229,2218.5144168452166,-63.50158865119038,29.81031772101965
48,-3059.3940472829004,2952.2849176486225,-1481.9776802082267,1839.707477029988,2360.92454968099,-2347.163459644312,-2249.7035665445587,2201.6899092892195,-10.16442847419289,92.95950843045819
49,-2955.851465375044,2978.3092009427246,-1477.154979621946,1748.113048573254,2342.6377386819195,-2454.445494332873,-2249.9763944454376,2185.2189807618324,57.95450038350427,139.0422610243682
50,-2764.148960579628,2873.9541024639,-1422.4827033403533,1563.6630200421594,2434.9085692226568,-2571.3443952443113,-2242.8870038467644,2191.957177837799,107.76368202770679,113.39231447144721
51,-2685.2723264961483,2912.3053611629016,-1437.8826666551092,1562.4000593871049,2465.0636038794137,-2656.352372943226,-2232.1952611212578,2177.4690345768877,118.31077938156265,136.70436757131793
52,-2699.400210428999,2950.301305304445,-1440.389971431279,1598.8516065911322,2406.9642460123277,-2638.0363834243885,-2254.88493687936,2189.810886371521,72.58356901933354,88.55861965959407
53,-3101.985631038775,3092.356406111608,-1469.4966897253362,1548.4887545947315,2099.407484108505,-2272.439185622019,-2262.271607935401,2210.358366977075,214.6519740744962,67.29695177061357
54,-3088.9319588912763,3039.764127380496,-1500.6462105183189,1508.861775595249,2034.1273990127147,-2267.6255445794177,-2279.5862620244775,2225.9371899256194,259.8823982021821,25.244420371127983
55,-3047.911780235957,2953.445138264067,-1500.1652881884993,1493.3445517244525,1997.3340057884973,-2318.6135746912223,-2280.846088262719,2238.234659815723,305.0026494826306,128.91525180597208
56,-3033.0291428840987,2873.284229448364,-1480.3639230577696,1523.4274399398714,2019.3976437436695,-2409.8582538164683,-2285.486201214375,2232.999978896616,350.45855259341613,121.9335563951527
57,-3102.3215184549954,2964.7849086650685,-1437.532141792687,1519.5391894430386,2022.9824259883744,-2441.0322572422015,-2280.0025114477844,2243.2957855247646,387.62256928210627,214.5781637382465
58,-3249.3880041796074,2976.6293854907844,-1456.8977936230299,1499.5003220482993,2014.6955122216625,-2485.9695383908106,-2277.4990247284513,2237.365640267789,435.73780687322215,229.9548602938027
59,-3139.36938425584,2969.1924682524427,-1525.1719099209322,1497.0125903544251,1984.829658284097,-2560.224077718377,-2281.2229560083956,2223.0147876368083,505.61966772544463,300.25871852308086
60,-3067.5041209865008,2910.865027264847,-1647.1738531090077,1528.2069920763263,2077.939741249795,-2662.782819366016,-2273.870141512411,2216.7798471838096,543.329131662751,353.4342159791998
61,-3077.724454264291,2865.971496401367,-1696.7827692054957,1561.975715565606,2126.950791530275,-2693.595304061027,-2272.826161722798,2206.656327207039,506.02024792578095,417.9154611982364
62,-3177.862505313519,2852.130709473994,-1670.973280794046,1557.2434046952485,1979.307558295813,-2668.824511839363,-2298.05334786389,2213.5709545948744,609.7529704076198,479.81506723617355
63,-3385.1775607387926,2908.9950180507353,-1650.6595386979004,1545.9041645998657,1874.9817459405444,-2696.5822515421155,-2297.832211930899,2221.839690676527,655.6691240239167,530.6701389777124
64,-3539.533876134901,2882.6285309055356,-1662.4989784639674,1476.3155729664213,1774.7998739812742,-2678.1186221106404,-2308.1130427040252,2231.685059566555,766.7255408673497,535.3288632601664
65,-3339.902568637364,2704.9379949541412,-1637.5652734693774,1492.071235183106,1776.352620976754,-2689.5210225190367,-2329.7234926628103,2240.688787720376,812.634150812481,629.4107174129767
