No,Foot_L,Foot_R,Foot_pitch_L,Hand_L,Foot_pitch_R,Hand_R,Knee_L,Elbow_L,Thigh_pitch_L,Elbow_R,Thigh_pitch_R,Forearm_L,Knee_R,Forearm_R,Hiproll_L,Shoulder_L,Hiproll_R,Shoulder_R,Hip,Moe,Hip_R,Head,Shoulder_pitch_L,Head_pitch,Shoulder_pitch_R
9557,-346.65625,90.875,1742.6875,-2824,-1144.3125,3092,3528,-2660,-3479.875,1287.0625,2013.5625,-92,-2450.25,-2692.3125,290.96875,-1242,-91.40625,1659.78125,969,170.65625,846.65625,896.75,816,-188.3125,-1393.90625
9558,-342.8125,94.75,1745.375,-2824,-1144.625,3092,3528,-2660,-3483.75,1272.125,2020.125,-92,-2461.5,-2681.625,262.4375,-1242,-121.3125,1665.0625,978,158.8125,853.8125,899.5,816,-188.625,-1399.3125
9559,-338.96875,98.625,1748.0625,-2824,-1144.9375,3092,3528,-2660,-3487.625,1257.1875,2026.6875,-92,-2472.75,-2670.9375,233.90625,-1242,-151.21875,1670.34375,987,146.96875,860.96875,902.25,816,-188.9375,-1404.71875
9560,-335.125,102.5,1750.75,-2824,-1145.25,3092,3528,-2660,-3491.5,1242.25,2033.25,-92,-2484,-2660.25,205.375,-1242,-181.125,1675.625,996,135.125,868.125,905,816,-189.25,-1410.125
9561,-331.28125,106.375,1753.4375,-2824,-1145.5625,3092,3528,-2660,-3495.375,1227.3125,2039.8125,-92,-2495.25,-2649.5625,176.84375,-1242,-211.03125,1680.90625,1005,123.28125,875.28125,907.75,816,-189.5625,-1415.53125
9562,-327.4375,110.25,1756.125,-2824,-1145.875,3092,3528,-2660,-3499.25,1212.375,2046.375,-92,-2506.5,-2638.875,148.3125,-1242,-240.9375,1686.1875,1014,111.4375,882.4375,910.5,816,-189.875,-1420.9375
9563,-323.59375,114.125,1758.8125,-2824,-1146.1875,3092,3528,-2660,-3503.125,1197.4375,2052.9375,-92,-2517.75,-2628.1875,119.78125,-1242,-270.84375,1691.46875,1023,99.59375,889.59375,913.25,816,-190.1875,-1426.34375
9564,-319.75,118,1761.5,-2824,-1146.5,3092,3528,-2660,-3507,1182.5,2059.5,-92,-2529,-2617.5,91.25,-1242,-300.75,1696.75,1032,87.75,896.75,916,816,-190.5,-1431.75
9565,-315.90625,121.875,1764.1875,-2824,-1146.8125,3092,3528,-2660,-3510.875,1167.5625,2066.0625,-92,-2540.25,-2606.8125,62.71875,-1242,-330.65625,1702.03125,1041,75.90625,903.90625,918.75,816,-190.8125,-1437.15625
9566,-312.0625,125.75,1766.875,-2824,-1147.125,3092,3528,-2660,-3514.75,1152.625,2072.625,-92,-2551.5,-2596.125,34.1875,-1242,-360.5625,1707.3125,1050,64.0625,911.0625,921.5,816,-191.125,-1442.5625
9567,-308.21875,129.625,1769.5625,-2824,-1147.4375,3092,3528,-2660,-3518.625,1137.6875,2079.1875,-92,-2562.75,-2585.4375,5.65625,-1242,-390.46875,1712.59375,1059,52.21875,918.21875,924.25,816,-191.4375,-1447.96875
