A,B,C,D,E,F
5.56597e-015,20,1.27222e-014,-3.18055e-015,1.59028e-015,-3.18055e-015
-7.95139e-016,20,-3.18055e-015,-0,0,0
-3.97569e-015,20,3.18055e-015,3.18055e-015,4.77083e-015,3.18055e-015
-7.15625e-015,20,3.18055e-015,-0,1.59028e-015,0
-2.38542e-015,20,-3.18055e-015,6.36111e-015,1.32417e-031,3.18055e-015
3.18055e-015,20,3.18055e-015,3.18055e-015,1.59028e-015,6.36111e-015
3.18055e-015,20,-3.18055e-015,9.54166e-015,-1.59028e-015,3.18055e-015
3.18055e-015,20,-3.18055e-015,6.36111e-015,-3.18055e-015,3.18055e-015
-7.95139e-016,20,-9.54166e-015,-0,7.95139e-015,-3.18055e-015
3.18055e-015,20,-3.18055e-015,-3.18055e-015,-3.18055e-015,0
-3.18055e-015,20,-3.18055e-015,1.27222e-014,-3.18055e-015,-3.18055e-015
7.95139e-016,20,0,-6.36111e-015,-4.41391e-032,3.18055e-015
1.59028e-015,20,3.18055e-015,-6.36111e-015,-3.18055e-015,3.18055e-015
4.77083e-015,20,-6.36111e-015,3.18055e-015,-1.59028e-015,0
7.95139e-016,20,6.36111e-015,3.18055e-015,-1.59028e-015,0
1.59028e-015,20,0,3.18055e-015,-1.59028e-015,6.36111e-015
1.59028e-015,20,-6.36111e-015,6.36111e-015,-1.59028e-015,3.18055e-015
3.18055e-015,20,-6.36111e-015,-6.36111e-015,-4.77083e-015,0
9.54166e-015,20,3.18055e-015,3.18055e-015,1.05934e-030,-6.36111e-015
2.38542e-015,20,0,3.18055e-015,1.59028e-015,6.36111e-015
3.97569e-015,20,-9.54166e-015,-6.36111e-015,-1.59028e-015,0
2.38542e-015,20,-3.18055e-015,6.36111e-015,1.32417e-031,-3.18055e-015
-0,20,-3.18055e-015,-3.18055e-015,4.77083e-015,0
-3.97569e-015,20,9.54166e-015,6.36111e-015,-4.77083e-015,9.54166e-015
-6.36111e-015,20,-3.18055e-015,3.18055e-015,4.77083e-015,6.36111e-015
3.18055e-015,20,-3.18055e-015,-3.18055e-015,-3.18055e-015,0
-6.36111e-015,20,3.18055e-015,9.54166e-015,7.95139e-015,0
-5.56597e-015,20,3.18055e-015,6.36111e-015,1.59028e-015,0
-7.95139e-016,20,0,-6.36111e-015,-1.59028e-015,-3.18055e-015
-0,20,-6.36111e-015,-9.54166e-015,-6.36111e-015,-3.18055e-015
-7.95139e-015,20,-6.36111e-015,3.18055e-015,1.59028e-015,-3.18055e-015
1.59028e-015,20,0,-9.54166e-015,3.18055e-015,3.18055e-015
2.38542e-015,20,-9.54166e-015,-3.18055e-015,1.59028e-015,0
-2.38542e-015,20,3.18055e-015,3.18055e-015,4.77083e-015,6.36111e-015
6.36111e-015,20,-9.54166e-015,3.18055e-015,3.53113e-031,-3.18055e-015
-1.59028e-015,20,-3.18055e-015,6.36111e-015,-1.59028e-015,3.18055e-015
7.95139e-015,20,1.27222e-014,-0,1.59028e-015,0
-7.95139e-016,20,6.36111e-015,-6.36111e-015,-1.59028e-015,3.18055e-015
1.59028e-015,20,9.54166e-015,1.27222e-014,-7.95139e-015,6.36111e-015
5.56597e-015,20,3.18055e-015,-9.54166e-015,-1.59028e-015,-3.18055e-015
4.77083e-015,20,0,-1.27222e-014,-3.18055e-015,3.18055e-015
2.38542e-015,20,-3.18055e-015,-6.36111e-015,-3.18055e-015,3.18055e-015
7.95139e-016,20,-9.54166e-015,-1.59028e-014,-4.77083e-015,-6.36111e-015
3.18055e-015,20,-3.18055e-015,-3.18055e-015,4.77083e-015,3.18055e-015
3.18055e-015,20,-3.18055e-015,-3.18055e-015,1.59028e-015,0
1.19271e-014,20,-6.36111e-015,9.54166e-015,-1.59028e-015,3.18055e-015
-1.59028e-015,20,6.36111e-015,-6.36111e-015,-1.59028e-015,-3.18055e-015
2.38542e-015,20,-3.18055e-015,-0,1.59028e-015,3.18055e-015
7.15625e-015,20,3.18055e-015,-3.18055e-015,-4.77083e-015,-3.18055e-015
-0,20,-3.18055e-015,-3.18055e-015,-3.18055e-015,-6.36111e-015
-7.95139e-016,20,-6.36111e-015,-0,-6.36111e-015,3.18055e-015
1.11319e-014,20,3.18055e-015,-0,-4.77083e-015,6.36111e-015
7.95139e-016,20,9.54166e-015,-6.36111e-015,-4.41391e-032,3.18055e-015
2.38542e-015,20,-6.36111e-015,6.36111e-015,1.59028e-015,3.18055e-015
-3.18055e-015,20,-3.18055e-015,-0,-1.76556e-031,-3.18055e-015
6.36111e-015,20,3.18055e-015,-9.54166e-015,-3.18055e-015,-9.54166e-015
2.38542e-015,20,-6.36111e-015,-0,1.32417e-031,-3.18055e-015
7.95139e-016,20,-6.36111e-015,3.18055e-015,-4.77083e-015,-3.18055e-015
7.95139e-016,20,3.18055e-015,-0,-1.59028e-015,3.18055e-015
-3.18055e-015,20,3.18055e-015,6.36111e-015,-1.76556e-031,-3.18055e-015
-2.38542e-015,20,-3.18055e-015,-0,-2.64834e-031,-6.36111e-015
-3.18055e-015,20,-3.18055e-015,-6.36111e-015,-1.59028e-015,-3.18055e-015
-0,20,3.18055e-015,-3.18055e-015,0,6.36111e-015
-7.95139e-015,20,-3.18055e-015,6.36111e-015,-1.59028e-015,3.18055e-015
-3.18055e-015,20,3.18055e-015,6.36111e-015,-1.59028e-015,0
7.95139e-016,20,0,6.36111e-015,6.36111e-015,0
9.54166e-015,20,0,-6.36111e-015,-0,0
-1.03368e-014,20,-6.36111e-015,-6.36111e-015,3.18055e-015,0
1.59028e-015,20,6.36111e-015,3.18055e-015,1.59028e-015,0
-3.18055e-015,20,0,-0,-3.18055e-015,3.18055e-015
-5.56597e-015,20,-9.54166e-015,-6.36111e-015,-1.59028e-015,0
3.18055e-015,20,-6.36111e-015,-6.36111e-015,-1.59028e-015,3.18055e-015
-3.18055e-015,20,6.36111e-015,-6.36111e-015,-1.59028e-015,-3.18055e-015
4.77083e-015,20,-9.54166e-015,6.36111e-015,1.59028e-015,0
7.95139e-016,20,3.18055e-015,-0,-1.59028e-015,-6.36111e-015
1.59028e-015,20,-6.36111e-015,9.54166e-015,8.82781e-032,-3.18055e-015
-1.59028e-015,20,-6.36111e-015,3.18055e-015,-8.82781e-032,-3.18055e-015
3.18055e-015,20,6.36111e-015,6.36111e-015,3.18055e-015,3.18055e-015
-4.77083e-015,20,-3.18055e-015,6.36111e-015,0,0
-0,20,-9.54166e-015,6.36111e-015,0,0
4.77083e-015,20,-3.18055e-015,-6.36111e-015,2.64834e-031,-3.18055e-015
-7.95139e-016,20,0,9.54166e-015,-3.18055e-015,-3.18055e-015
3.18055e-015,20,-9.54166e-015,-6.36111e-015,1.76556e-031,-3.18055e-015
-1.59028e-015,20,3.18055e-015,9.54166e-015,3.18055e-015,0
-9.54166e-015,20,0,-3.18055e-015,5.29669e-031,3.18055e-015
3.18055e-015,20,0,3.18055e-015,-3.18055e-015,-3.18055e-015
3.18055e-015,20,3.18055e-015,-3.18055e-015,-0,0
3.18055e-015,20,6.36111e-015,-0,-1.76556e-031,3.18055e-015
4.77083e-015,20,-6.36111e-015,-3.18055e-015,-1.59028e-015,6.36111e-015
7.95139e-015,20,0,-0,4.77083e-015,3.18055e-015
